ParentEduc_int,TestPrep_int,PracticeSport_int,WklyStudyHours_int,Gender_female,Gender_male,EthnicGroup_group A,EthnicGroup_group B,EthnicGroup_group C,EthnicGroup_group D,EthnicGroup_group E,LunchType_free/reduced,LunchType_standard,ParentMaritalStatus_divorced,ParentMaritalStatus_married,ParentMaritalStatus_single,ParentMaritalStatus_widowed,IsFirstChild_no,IsFirstChild_yes,TransportMeans_private,TransportMeans_school_bus,MathScore,ReadingScore,WritingScore
0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,45,37,37
1,0,2,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,61,73,75
2,0,2,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,62,58,57
2,0,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,39,64,57
1,1,1,2,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,64,55,64
2,0,2,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,42,51,49
0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,59,56,54
0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,47,48,40
2,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,44,41,38
0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,28,25,21
1,1,2,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,82,79,83
0,1,1,2,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,62,75,73
3,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,60,68,68
2,0,2,2,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,49,50,52
0,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,49,45,45
1,1,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,50,47,54
2,0,2,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,74,64,64
0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,40,38,33
1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,73,80,82
1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,73,81,86
2,0,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,71,71,74
1,0,2,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,57,69,67
0,0,1,2,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,75,87,83
0,0,2,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,27,34,36
0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,68,77,69
2,1,2,2,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,45,46,52
1,0,2,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,81,87,94
0,1,2,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,63,65,61
1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,59,69,66
1,0,2,2,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,61,69,64
2,0,2,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,64,66,62
1,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,79,67,67
2,1,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,68,74,74
2,0,2,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,87,92,91
0,1,2,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,61,44,48
1,1,2,2,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,100,88,94
1,0,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,58,67,72
3,0,1,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,87,100,100
1,1,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,66,63,64
2,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,52,76,70
0,0,2,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,72,64,73
2,1,1,2,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,79,90,99
0,0,2,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,63,55,50
2,0,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,54,53,47
1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,47,56,51
2,1,2,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,98,99,100
0,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,84,77,74
2,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,72,83,79
2,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,75,80,77
0,0,2,2,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,54,64,63
1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,55,69,65
2,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,76,90,86
2,1,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,88,87,90
1,1,2,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,90,94,95
0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,63,57,56
1,0,2,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,82,79,73
0,0,0,2,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,86,94,85
1,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,72,68,67
1,0,2,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,64,76,74
3,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,77,81,72
2,0,2,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,52,49,52
3,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,87,84,82
0,1,2,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,52,36,40
1,1,2,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,89,75,71
1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,70,78,80
2,1,1,2,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,76,80,76
2,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,56,54,47
0,1,1,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,51,54,41
0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,67,54,54
2,0,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,59,66,67
1,1,1,2,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,73,61,70
0,0,1,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,76,72,71
1,0,2,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,60,62,65
1,1,2,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,41,54,54
0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,57,43,47
1,0,1,2,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,90,74,79
1,0,2,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,21,38,33
2,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,65,73,79
2,1,2,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,100,100,95
0,1,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,62,67,69
2,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,57,68,64
2,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,54,49,47
0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,58,65,58
1,1,2,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,69,88,88
0,1,2,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,67,75,79
1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,58,59,58
2,0,2,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,62,87,89
2,0,2,2,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,70,63,66
2,1,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,82,78,74
1,1,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,75,88,85
3,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,48,53,52
0,0,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,52,53,49
3,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,76,89,86
2,1,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,96,100,100
0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,53,51,51
3,1,2,2,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,62,79,83
0,1,2,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,70,84,79
0,1,2,2,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,76,75,77
0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,91,86,76
1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,76,84,78
2,0,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,63,67,70
2,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,41,50,52
3,1,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,81,92,89
0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,44,53,56
2,1,2,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,70,76,77
3,1,2,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,54,72,65
0,1,2,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,99,100,100
3,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,60,68,75
1,0,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,46,64,66
0,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,50,50,47
2,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,63,67,68
2,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,61,65,62
0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,75,73,62
0,1,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,62,66,68
0,0,2,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,47,51,45
2,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,74,86,85
2,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,66,65,69
1,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,73,81,77
0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,62,64,66
1,1,2,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,79,62,63
3,1,2,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,69,85,87
2,0,2,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,60,54,52
1,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,57,67,63
0,0,1,2,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,56,56,52
1,0,2,2,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,47,54,57
2,0,2,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,80,80,77
2,1,2,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,66,83,86
1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,63,79,75
2,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,69,77,69
2,0,2,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,58,70,69
1,0,2,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,58,40,42
0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,71,69,76
2,0,2,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,84,62,63
0,1,2,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,83,81,77
1,0,2,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,73,80,76
1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,58,61,66
0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,77,77,77
1,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,35,28,27
0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,42,62,60
2,1,2,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,61,51,57
0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,87,91,81
0,1,2,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,86,84,76
2,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,80,84,86
0,0,2,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,33,41,39
0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,64,75,68
0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,59,55,54
0,1,2,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,57,69,75
2,0,1,2,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,89,86,74
0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,55,65,62
0,0,2,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,88,81,76
2,1,2,2,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,55,67,76
3,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,43,55,52
1,0,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,72,72,71
0,0,2,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,58,50,55
1,0,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,68,72,64
1,1,2,2,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,93,97,98
1,0,2,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,78,64,67
2,0,2,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,47,43,43
2,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,67,86,83
0,0,1,2,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,94,88,79
2,1,1,2,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,85,83,85
2,0,2,2,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,84,77,80
2,0,2,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,62,65,67
0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,62,59,72
1,0,2,2,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,57,53,53
2,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,84,80,80
0,1,1,2,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,75,69,67
2,0,2,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,82,84,85
1,0,2,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,58,50,43
0,0,2,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,74,73,69
2,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,82,74,69
2,0,2,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,91,77,75
0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,58,70,68
0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,63,63,60
0,0,1,2,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,70,60,54
0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,47,49,49
1,0,2,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,70,82,83
0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,60,70,70
3,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,80,80,72
0,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,54,52,52
1,0,1,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,62,73,70
2,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,62,71,66
2,1,2,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,80,78,78
0,1,1,2,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,65,80,78
1,1,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,79,79,78
0,0,2,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,45,50,52
0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,99,93,90
0,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,76,73,68
0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,57,41,40
2,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,61,73,79
0,0,2,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,71,73,78
2,1,2,2,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,93,94,99
1,0,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,71,76,70
2,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,69,63,61
1,0,2,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,57,48,42
2,0,2,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,48,53,59
1,0,1,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,65,70,71
1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,85,83,74
2,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,83,78,73
0,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,82,90,91
1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,57,62,73
0,0,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,65,86,80
2,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,73,56,57
0,0,1,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,45,48,46
2,0,2,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,75,80,86
1,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,67,76,76
0,0,2,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,36,45,46
2,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,78,80,79
2,1,2,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,99,83,90
0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,64,87,80
2,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,85,73,74
0,1,1,2,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,79,77,78
2,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,76,70,68
0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,83,71,68
0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,61,59,55
2,0,1,2,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,66,74,76
0,1,2,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,80,78,82
2,0,0,2,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,66,61,59
0,1,2,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,47,41,44
2,1,2,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,73,75,69
1,1,2,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,39,45,50
